id,province_id,name_th,name_en
1,1,เขตพระนคร,Khet Phra Nakhon
2,1,เขตดุสิต,Khet Dusit
3,1,เขตหนองจอก,Khet Nong Chok
4,1,เขตบางรัก,Khet Bang Rak
5,1,เขตบางเขน,Khet Bang Khen
6,1,เขตบางกะปิ,Khet Bang Kapi
7,1,เขตปทุมวัน,Khet Pathum Wan
8,1,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai
9,1,เขตพระโขนง,Khet Phra Khanong
10,1,เขตมีนบุรี,Khet Min Buri
11,1,เขตลาดกระบัง,Khet Lat Krabang
12,1,เขตยานนาวา,Khet Yan Nawa
13,1,เขตสัมพันธวงศ์,Khet Samphanthawong
14,1,เขตพญาไท,Khet Phaya Thai
15,1,เขตธนบุรี,Khet Thon Buri
16,1,เขตบางกอกใหญ่,Khet Bangkok Yai
17,1,เขตห้วยขวาง,Khet Huai Khwang
18,1,เขตคลองสาน,Khet Khlong San
19,1,เขตตลิ่งชัน,Khet Taling Chan
20,1,เขตบางกอกน้อย,Khet Bangkok Noi
21,1,เขตบางขุนเทียน,Khet Bang Khun Thian
22,1,เขตภาษีเจริญ,Khet Phasi Charoen
23,1,เขตหนองแขม,Khet Nong Khaem
24,1,เขตราษฎร์บูรณะ,Khet Rat Burana
25,1,เขตบางพลัด,Khet Bang Phlat
26,1,เขตดินแดง,Khet Din Daeng
27,1,เขตบึงกุ่ม,Khet Bueng Kum
28,1,เขตสาทร,Khet Sathon
29,1,เขตบางซื่อ,Khet Bang Sue
30,1,เขตจตุจักร,Khet Chatuchak
31,1,เขตบางคอแหลม,Khet Bang Kho Laem
32,1,เขตประเวศ,Khet Prawet
33,1,เขตคลองเตย,Khet Khlong Toei
34,1,เขตสวนหลวง,Khet Suan Luang
35,1,เขตจอมทอง,Khet Chom Thong
36,1,เขตดอนเมือง,Khet Don Mueang
37,1,เขตราชเทวี,Khet Ratchathewi
38,1,เขตลาดพร้าว,Khet Lat Phrao
39,1,เขตวัฒนา,Khet Watthana
40,1,เขตบางแค,Khet Bang Khae
41,1,เขตหลักสี่,Khet Lak Si
42,1,เขตสายไหม,Khet Sai Mai
43,1,เขตคันนายาว,Khet Khan Na Yao
44,1,เขตสะพานสูง,Khet Saphan Sung
45,1,เขตวังทองหลาง,Khet Wang Thonglang
46,1,เขตคลองสามวา,Khet Khlong Sam Wa
47,1,เขตบางนา,Khet Bang Na
48,1,เขตทวีวัฒนา,Khet Thawi Watthana
49,1,เขตทุ่งครุ,Khet Thung Khru
50,1,เขตบางบอน,Khet Bang Bon
51,2,เมืองสมุทรปราการ,Mueang Samut Prakan
52,2,บางบ่อ,Bang Bo
53,2,บางพลี,Bang Phli
54,2,พระประแดง,Phra Pradaeng
55,2,พระสมุทรเจดีย์,Phra Samut Chedi
56,2,บางเสาธง,Bang Sao Thong
57,3,เมืองนนทบุรี,Mueang Nonthaburi
58,3,บางกรวย,Bang Kruai
59,3,บางใหญ่,Bang Yai
60,3,บางบัวทอง,Bang Bua Thong
61,3,ไทรน้อย,Sai Noi
62,3,ปากเกร็ด,Pak Kret
63,4,เมืองปทุมธานี,Mueang Pathum Thani
64,4,คลองหลวง,Khlong Luang
65,4,ธัญบุรี,Thanyaburi
66,4,หนองเสือ,Nong Suea
67,4,ลาดหลุมแก้ว,Lat Lum Kaeo
68,4,ลำลูกกา,Lam Luk Ka
69,4,สามโคก,Sam Khok
70,5,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
71,5,ท่าเรือ,Tha Ruea
72,5,นครหลวง,Nakhon Luang
73,5,บางไทร,Bang Sai
74,5,บางบาล,Bang Ban
75,5,บางปะอิน,Bang Pa-in
76,5,บางปะหัน,Bang Pahan
77,5,ผักไห่,Phak Hai
78,5,ภาชี,Phachi
79,5,ลาดบัวหลวง,Lat Bua Luang
80,5,วังน้อย,Wang Noi
81,5,เสนา,Sena
82,5,บางซ้าย,Bang Sai
83,5,อุทัย,Uthai
84,5,มหาราช,Maha Rat
85,5,บ้านแพรก,Ban Phraek
86,6,เมืองอ่างทอง,Mueang Ang Thong
87,6,ไชโย,Chaiyo
88,6,ป่าโมก,Pa Mok
89,6,โพธิ์ทอง,Pho Thong
90,6,แสวงหา,Sawaeng Ha
91,6,วิเศษชัยชาญ,Wiset Chai Chan
92,6,สามโก้,Samko
93,7,เมืองลพบุรี,Mueang Lop Buri
