id,district_id,name_th,name_en,postcode_id
1,1,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,1
2,1,วังบูรพาภิรมย์,Wang Burapha Phirom,1
3,1,วัดราชบพิธ,Wat Ratchabophit,1
4,1,สำราญราษฎร์,Samran Rat,1
5,1,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,1
6,1,เสาชิงช้า,Sao Chingcha,1
7,1,บวรนิเวศ,Bowon Niwet,1
8,1,ตลาดยอด,Talat Yot,1
9,1,ชนะสงคราม,Chana Songkhram,1
10,1,บ้านพานถม,Ban Phan Thom,1
11,1,บางขุนพรหม,Bang Khun Phrom,1
12,1,วัดสามพระยา,Wat Sam Phraya,1
13,2,ดุสิต,Dusit,2
14,2,วชิรพยาบาล,Wachiraphayaban,2
15,2,สวนจิตรลดา,Suan Chit Lada,2
16,2,สี่แยกมหานาค,Si Yaek Maha Nak,2
17,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,2
18,3,กระทุ่มราย,Krathum Rai,3
19,3,หนองจอก,Nong Chok,3
20,3,คลองสิบ,Khlong Sip,3
21,3,คลองสิบสอง,Khlong Sip Song,3
22,3,โคกแฝด,Khok Faet,3
23,3,คู้ฝั่งเหนือ,Khu Fang Nuea,3
24,3,ลำผักชี,Lam Phak Chi,3
25,3,ลำต้อยติ่ง,Lam Toiting,3
26,4,มหาพฤฒาราม,Maha Phruettharam,4
27,4,สีลม,Si Lom,4
28,4,สุริยวงศ์,Suriyawong,4
29,4,บางรัก,Bang Rak,4
30,4,สี่พระยา,Si Phraya,4
31,5,อนุสาวรีย์,Anusawari,5
32,5,ท่าแร้ง,Tha Raeng,5
33,6,คลองจั่น,Khlong Chan,6
34,6,หัวหมาก,Hua Mak,6
35,7,รองเมือง,Rong Mueang,7
36,7,วังใหม่,Wang Mai,7
37,7,ปทุมวัน,Pathum Wan,7
38,7,ลุมพินี,Lumphini,7
39,8,ป้อมปราบ,Pom Prap,8
40,8,วัดเทพศิรินทร์,Wat Thep Sirin,8
41,8,คลองมหานาค,Khlong Maha Nak,8
42,8,บ้านบาตร,Ban Bat,8
43,8,วัดโสมนัส,Wat Sommanat,8
44,9,บางจาก,Bang Chak,9
45,9,พระโขนงใต้,Phra Khanong Tai,9
46,10,มีนบุรี,Min Buri,10
47,10,แสนแสบ,Saen Saep,10
48,11,ลาดกระบัง,Lat Krabang,11
49,11,คลองสองต้นนุ่น,Khlong Song Ton Nun,11
50,11,คลองสามประเวศ,Khlong Sam Prawet,11
51,11,ลำปลาทิว,Lam Pla Thio,11
52,11,ทับยาว,Thap Yao,11
53,11,ขุมทอง,Khum Thong,11
54,12,ช่องนนทรี,Chong Nonsi,12
55,12,บางโพงพาง,Bang Phongphang,12
56,13,จักรวรรดิ,Chakkrawat,8
57,13,สัมพันธวงศ์,Samphanthawong,8
58,13,ตลาดน้อย,Talat Noi,8
59,14,สามเสนใน,Samsen Nai,13
60,14,พญาไท,Phaya Thai,13
61,15,วัดกัลยาณ์,Wat Kanlaya,14
62,15,หิรัญรูจี,Hiran Ruchi,14
63,15,บางยี่เรือ,Bang Yi Ruea,14
64,15,บุคคโล,Bukkhalo,14
65,15,ตลาดพลู,Talat Phlu,14
66,15,ดาวคะนอง,Dao Khanong,14
67,15,สำเหร่,Samre,14
68,16,วัดอรุณ,Wat Arun,14
69,16,วัดท่าพระ,Wat Tha Phra,14
70,17,ห้วยขวาง,Huai Khwang,15
71,17,บางกะปิ,Bang Kapi,15
72,17,สามเสนนอก,Samsen Nok,15
73,18,สมเด็จเจ้าพระยา,Somdet Chao Phraya,14
74,18,คลองสาน,Khlong San,14
75,18,บางลำภูล่าง,Bang Lamphu Lang,14
76,18,คลองต้นไทร,Khlong Ton Sai,14
77,19,คลองชักพระ,Khlong Chak Phra,16
78,19,ตลิ่งชัน,Taling Chan,16
79,19,ฉิมพลี,Chimphli,16
80,19,บางพรม,Bang Phrom,16
81,19,บางระมาด,Bang Ramat,16
82,19,บางเชือกหนัง,Bang Chueak Nang,16
83,20,ศิริราช,Siri Rat,17
84,20,บ้านช่างหล่อ,Ban Chang Lo,17
85,20,บางขุนนนท์,Bang Khun Non,17
86,20,บางขุนศรี,Bang Khun Si,17
87,20,อรุณอมรินทร์,Arun Ammarin,17
88,21,ท่าข้าม,Tha Kham,18
89,21,แสมดำ,Samae Dam,18
90,22,บางหว้า,Bang Wa,19
91,22,บางด้วน,Bang Duan,19
92,22,บางจาก,Bang Chak,19
93,22,บางแวก,Bang Waek,19
94,22,คลองขวาง,Khlong Khwang,19
95,22,ปากคลองภาษีเจริญ,Pak Khlong Phasi Charoen,19
96,22,คูหาสวรรค์,Khuha Sawan,19
97,23,หนองแขม,Nong Khaem,19
98,23,หนองค้างพลู,Nong Khang Phlu,19
99,24,ราษฎร์บูรณะ,Rat Burana,20
100,24,บางปะกอก,Bang Pakok,20
101,25,บางพลัด,Bang Phlat,17
102,25,บางอ้อ,Bang O,17
103,25,บางบำหรุ,Bang Bamru,17
104,25,บางยี่ขัน,Bang Yi Khan,17
105,26,ดินแดง,Din Daeng,13
106,26,รัชดาภิเษก,Ratchadaphisek,13
107,27,คลองกุ่ม,Khlong Kum,6
108,27,นวมินทร์,Nawamin,6
109,27,นวลจันทร์,Nuan Chan,21
110,28,ทุ่งวัดดอน,Thung Wat Don,12
111,28,ยานนาวา,Yan Nawa,12
112,28,ทุ่งมหาเมฆ,Thung Maha Mek,12
113,29,บางซื่อ,Bang Sue,22
114,29,วงศ์สว่าง,Wong Sawang,22
115,30,ลาดยาว,Lat Yao,23
116,30,เสนานิคม,Sena Nikhom,23
117,30,จันทรเกษม,Chan Kasem,23
118,30,จอมพล,Chom Phon,23
119,30,จตุจักร,Chatuchak,23
120,31,บางคอแหลม,Bang Kho Laem,12
121,31,วัดพระยาไกร,Wat Phraya Krai,12
122,31,บางโคล่,Bang Khlo,12
123,32,ประเวศ,Prawet,24
124,32,หนองบอน,Nong Bon,24
125,32,ดอกไม้,Dokmai,24
126,33,คลองเตย,Khlong Toei,25
127,33,คลองตัน,Khlong Tan,25
128,33,พระโขนง,Phra Khanong,25
129,34,สวนหลวง,Suan Luang,24
130,34,อ่อนนุช,On Nut,24
131,34,พัฒนาการ,Phatthanakan,24
132,35,บางขุนเทียน,Bang Khun Thian,18
133,35,บางค้อ,Bang Kho,18
134,35,บางมด,Bang Mot,18
135,35,จอมทอง,Chom Thong,18
136,36,สีกัน,Si Kan,26
137,36,ดอนเมือง,Don Mueang,26
138,36,สนามบิน,Sanam Bin,26
139,37,ทุ่งพญาไท,Thung Phaya Thai,13
140,37,ถนนพญาไท,Thanon Phaya Thai,13
141,37,ถนนเพชรบุรี,Thanon Phetchaburi,13
142,37,มักกะสัน,Makkasan,13
143,38,ลาดพร้าว,Lat Phrao,21
144,38,จรเข้บัว,Chorakhe Bua,21
145,39,คลองเตยเหนือ,Khlong Toei Nuea,25
146,39,คลองตันเหนือ,Khlong Tan Nuea,25
147,39,พระโขนงเหนือ,Phra Khanong Nuea,25
148,40,บางแค,Bang Khae,19
149,40,บางแคเหนือ,Bang Khae Nuea,19
150,40,บางไผ่,Bang Phai,19
151,40,หลักสอง,Lak Song,19
152,41,ทุ่งสองห้อง,Thung Song Hong,26
153,41,ตลาดบางเขน,Talat Bang Khen,26
154,42,สายไหม,Sai Mai,5
155,42,ออเงิน,O Ngoen,5
156,42,คลองถนน,Khlong Thanon,5
157,43,คันนายาว,Khan Na Yao,21
158,43,รามอินทรา,Ram Inthra,21
159,44,สะพานสูง,Sapan Sung,6
160,44,ราษฎร์พัฒนา,Rat Phatthana,6
161,44,ทับช้าง,Thap Chang,24
162,45,วังทองหลาง,Wang Thonglang,15
163,45,สะพานสอง,Saphan Song,15
164,45,คลองเจ้าคุณสิงห์,Khlong Chao Khun Sing,15
165,45,พลับพลา,Phlapphla,15
166,46,สามวาตะวันตก,Sam Wa Tawantok,10
167,46,สามวาตะวันออก,Sam Wa Tawan-ok,10
168,46,บางชัน,Bang Chan,10
169,46,ทรายกองดิน,Sai Kong Din,10
170,46,ทรายกองดินใต้,Sai Kong Din Tai,10
171,47,บางนาเหนือ,Bang Na Nuea,9
172,47,บางนาใต้,Bang Na Tai,9
173,48,ทวีวัฒนา,Thawi Watthana,16
174,48,ศาลาธรรมสพน์,Sala Thammasop,16
175,49,บางมด,Bang Mot,20
176,49,ทุ่งครุ,Thung Khru,20
177,50,บางบอนเหนือ,Bang Bon Nuea,18
178,50,บางบอนใต้,Bang Bon Tai,18
179,50,คลองบางพราน,Khlong Bang Phran,18
180,50,คลองบางบอน,Khlong Bang Bon,18
181,51,ปากน้ำ,Pak Nam,27
182,51,สำโรงเหนือ,Samrong Nuea,27
183,51,บางเมือง,Bang Mueang,27
184,51,ท้ายบ้าน,Thai Ban,28
185,51,บางปูใหม่,Bang Pu Mai,28
186,51,แพรกษา,Phraek Sa,28
187,51,บางโปรง,Bang Prong,27
188,51,บางปู,Bang Pu,28
189,51,บางด้วน,Bang Duan,27
190,51,บางเมืองใหม่,Bang Mueang Mai,27
